review_id,game_name,market,original_labels,final_labels,added,removed,changed,n_coders_coded,n_abstain,unanimous,contested,ruled,decision_rule,disputed,note
ac5fc6a4-b597-46f3-af5a-3735b3854e26,Gossip Harbor: Merge & Story,UK,M_EasyToPurchase;M_NeverEndingLure,M_EasyToPurchase;M_NeverEndingLure,,,0,3,0,0,1,1,,0,"M_NeverEndingLure: not even 10 minutes into playing it, it notified me that I bought a starter pack
M_EasyToPurchase: it notified me that I bought a starter pack. I didn't tap anything and my settings are set up to where I have to input my fingerprint or password to make a purchase and it did not do that. "
2b915fb2-6ff4-4351-9b2f-e8db5661e0a5,Dark War Survival,UK,M_EasyToPurchase,M_EasyToPurchase,,,0,3,0,1,0,1,,0,"M_EasyToPurchase: accidentally brought a pack when I double tapped the screen
"
c1a9f304-9cc1-4eb5-84f0-7988297fe423,Lotsa Slots - Casino Games,US,M_Gambling,M_IntermediateCurrency;M_Gambling;P_RewardMania,M_IntermediateCurrency;P_RewardMania,,1,3,0,0,1,1,,0,"M_IntermediateCurrency: The bonus when buying is smaller
M_Gambling: slot games there are less costly options
P_RewardMania: slot games"
2fd4ef32-a33b-44ed-a921-2889ba6e0375,Ludo King®,IN,P_IllusionOfControl;P_OptimismAndFrequencyBiases,S_Competition;P_IllusionOfControl;P_OptimismAndFrequencyBiases,S_Competition,,1,3,0,0,1,1,,0,"S_Competition: One player will get more and more 6s and another one will get 1 or 2 mostly
P_IllusionOfControl: Dice rolls are not random at all, they are preplanned
P_OptimismAndFrequencyBiases: One player will get more and more 6s and another one will get 1 or 2 mostly"
a4d925c0-1248-4d12-ad93-5b8b1ced3b8d,Shadow Fight 4: Arena,IN,Tech_FragmentedDownloads,Tech_FragmentedDownloads,,,0,3,0,1,0,1,,0,Tech_FragmentedDownloads: I thought I already download the file but I still get an additional download
47cb4d59-0121-40f1-9ffc-220c458bd581,Seaside Escape®: Merge & Story,UK,M_WasteAversion,M_WasteAversion,,,0,3,0,0,1,1,,0,"M_WasteAversion: After just over a week of play, game is now gridlocked. Way too many new things on a tiny board"
86de0e5d-8187-4dfd-b8c3-05e5b271d89e,Real Cricket™,IN,T_Advertisement;P_IllusionOfControl,T_Advertisement;P_IllusionOfControl,,,0,3,0,1,0,1,,0,"T_Advertisement: Too much ads are shown after every over and every wicket fell
P_IllusionOfControl: Opponent takes catches very easily while our team drops all the catches except one or two"
e92fc4f7-bdda-4f54-a8e2-aa591fbc7945,Shadow Fight 4: Arena,IN,T_Grinding;S_FriendSpamImpersonation,T_Grinding;S_FriendSpamImpersonation,,,0,3,0,0,1,1,,0,"T_Grinding: takes quite a long time to unlock new heros...I have done close to 100 fights and still have the first two heros
S_FriendSpamImpersonation: ""share to unlock this hero"" won't unlock the hero for me"
f62c8a1f-91fc-4866-b267-977172fa2db3,Toon Blast,UK,T_InfiniteTreadmill;S_Competition,T_InfiniteTreadmill;S_Competition,,,0,3,0,0,1,1,,0,"T_InfiniteTreadmill: No new levels for 2 weeks and get a champions league. Its a money grab and I fell for it. Get new levels on 3/2/26 only to go maybe 50 levels and no more levels. Come to 3/3, another champions league
S_Competition: champions league"
c63003ef-dcdd-4ef2-a54e-0c9b0dfe931a,Kingshot,UK,T_DailyRewards;T_Grinding,T_PlayingByAppointment;T_DailyRewards;T_Grinding,T_PlayingByAppointment,,1,3,0,0,1,1,"DailyRewards ""vs Playing by Appointment"" boundary + R9: the daily quest cycle is what the player must rely on to advance, so the daily mechanism itself acts as the progression barrier.",0,"T_Grinding: and all the game ever had me do what click to upgrade this or research that or go there. 
T_DailyRewards: wad impossible to keep track of them without relying on the daily quests and such.
T_PlayingByAppointment: wad impossible to keep track of them without relying on the daily quests and such."
57add346-8b93-4249-be50-1a39331cf79b,RAID: Shadow Legends,UK,M_PayToProgress;M_DeceptiveLuxury;S_ForcedFellowship,M_PayToProgress;M_DeceptiveLuxury;S_ForcedFellowship,,,0,3,0,0,1,1,,0,"M_PayToProgress: p2p is the best way to win this game
M_DeceptiveLuxury: advertising ""special"" or ""limited time"" deals
S_ForcedFellowship: got a free champion and silver from a referral"
97c23c8d-b858-4afa-83b1-ebd08d56badc,Dice Dreams™️,UK,M_NeverEndingLure,M_NeverEndingLure,,,0,3,0,1,0,1,,0,M_NeverEndingLure: awesome the beginner packs really help get you started
bc0d6ee6-1f01-4101-8c25-fc4da5a1ef7c,Travel Town - Merge Adventure,UK,M_WasteAversion,M_WasteAversion,,,0,3,0,0,1,1,,0,M_WasteAversion: The limited space is bothersome too and you have to use diamonds to buy more storage 
ce92d6ba-cc5f-40a1-bc8e-27a82fa0a8f8,8 Ball Pool,IN,T_Advertisement,T_Advertisement,,,0,3,0,0,1,1,,0,T_Advertisement: way too many ads and paid popups. I've never seen a game ask u to watch an ad just to claim a daily reward
5e2d7a91-2181-4ad5-b5fb-cc1f50805d82,Real Cricket™,IN,T_Advertisement,T_Advertisement;M_UIMisdirection,M_UIMisdirection,,1,3,0,1,0,1,,0,"T_Advertisement: After every over, an ad pops up.
M_UIMisdirecton: If I accidentally tap the ad instead of cancel, the game closes and the ad opens."
31c8de21-5262-4e88-9d3c-feaffe08ec14,Merge Cooking®,UK,T_PlayingByAppointment;T_Advertisement;M_WasteAversion,T_PlayingByAppointment;T_Advertisement;M_WasteAversion,,,0,3,0,1,0,1,,0,"T_PlayingByAppointment: time it takes to recharge items and how long it takes to 'cook' is frustrating
T_Advertisement: I have to watch adds for a measly recharge only to run out again quickly.
M_WasteAversion: I run out of space on the board and have to delete items I spent time on."
991f5326-63fb-4951-8773-84050dd70912,Candy Crush Soda Saga,UK,M_DeceptiveLuxury,M_DeceptiveLuxury,,,0,3,0,0,1,1,,0,M_DeceptiveLuxury: purchased a weekly one time offer
da13d098-3944-4e0b-aa94-c064a56edd83,Mystery Town: Merge Games,UK,M_PayToProgress;P_CompleteTheCollection,M_PayToProgress;M_IntermediateCurrency;P_CompleteTheCollection,M_IntermediateCurrency,,1,3,0,0,1,1,,0,"M_PayToProgress:  you can't do anything without using in app purchases; the energy cap will barely get you midway through an order unless you use all your gems
M_IntermediateCurrency: gems. like everything just feels like a trap to get you to spend real money
P_CompleteTheCollection: never be able to complete the card packs"
50be85ac-f98c-4d2c-a70c-4465974027c0,Township,UK,T_DailyRewards,T_DailyRewards,,,0,3,0,1,0,1,,0,T_DailyRewards: I had a login streak of 53 that I just lost today for no reason. I did not miss yesterday's login.
